时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),电机1(RPM),电机2(RPM),倒立误差(°),系统能量(J),是否平衡,控制模式
5.099,304.563,40.200,239.019,-230.400,-264.000,336.000,124.563,-0.002,0,能量启摆
5.120,296.082,-769.200,247.786,934.200,-264.000,336.000,116.082,0.001,0,能量启摆
5.140,273.999,-1327.800,275.295,1681.800,-264.000,336.000,93.999,0.007,0,能量启摆
5.160,245.676,-1423.800,310.935,1842.600,180.000,-240.000,65.676,0.007,0,能量启摆
5.180,220.386,-541.800,342.576,671.400,180.000,-240.000,40.386,-0.005,0,能量启摆
5.199,221.682,373.800,341.499,-388.800,180.000,-240.000,41.682,-0.006,0,能量启摆
5.219,232.712,700.800,326.140,-935.400,180.000,-240.000,52.712,-0.004,0,能量启摆
5.239,250.071,915.600,302.849,-1305.000,180.000,-240.000,70.071,-0.000,0,能量启摆
5.259,270.132,1102.200,276.548,-1338.600,-264.000,336.000,90.132,0.004,0,能量启摆
5.279,286.809,94.200,254.927,-165.600,-264.000,336.000,106.809,-0.003,0,能量启摆
5.300,279.009,-773.400,264.133,956.400,-264.000,336.000,99.009,0.000,0,能量启摆
5.320,256.245,-1300.200,292.083,1646.400,180.000,-240.000,76.245,0.005,0,能量启摆
5.340,232.932,-420.600,321.108,552.600,180.000,-240.000,52.932,-0.005,0,能量启摆
5.360,233.987,380.400,318.032,-435.600,180.000,-240.000,53.987,-0.006,0,能量启摆
5.380,246.182,727.800,302.520,-1078.800,180.000,-240.000,66.182,-0.002,0,能量启摆
5.400,263.672,918.000,278.943,-1246.800,180.000,-240.000,83.672,0.001,0,能量启摆
5.421,283.931,1072.800,252.334,-1325.400,-264.000,336.000,103.931,0.004,0,能量启摆
5.441,300.168,127.800,230.801,-157.800,-264.000,336.000,120.168,-0.002,0,能量启摆
5.461,292.324,-825.000,239.744,1008.600,-264.000,336.000,112.324,0.002,0,能量启摆
5.481,269.077,-1349.400,267.056,1624.200,180.000,-240.000,89.077,0.007,0,能量启摆
5.500,245.435,-559.800,297.400,771.600,180.000,-240.000,65.435,-0.004,0,能量启摆
5.519,245.347,319.800,296.851,-411.600,180.000,-240.000,65.347,-0.005,0,能量启摆
5.539,257.542,754.200,281.316,-946.200,180.000,-240.000,77.542,-0.001,0,能量启摆
5.559,275.054,906.600,258.179,-1254.000,-264.000,336.000,95.054,0.001,0,能量启摆
5.579,289.578,-61.800,239.106,-13.200,-264.000,336.000,109.578,-0.003,0,能量启摆
5.599,280.569,-749.400,249.324,1036.800,-264.000,336.000,100.569,0.000,0,能量启摆
5.619,258.091,-1271.400,277.998,1639.200,180.000,-240.000,78.091,0.005,0,能量启摆
5.639,235.327,-400.200,307.727,613.200,180.000,-240.000,55.327,-0.005,0,能量启摆
5.659,237.678,425.400,304.475,-502.200,180.000,-240.000,57.678,-0.005,0,能量启摆
5.679,249.060,733.800,289.182,-1078.200,180.000,-240.000,69.060,-0.002,0,能量启摆
