时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),能量(J),模式,是否平衡
5.439,359.912,30.000,345.476,71.400,-105.556,-131.945,179.912,0.000,文献能量启摆,0
5.459,0.461,-11.400,346.838,-12.000,40.112,50.140,179.539,0.000,文献能量启摆,0
5.479,0.374,0.600,346.729,0.000,60.000,75.000,179.626,-0.000,文献能量启摆,0
5.499,0.527,17.400,346.970,22.200,-61.223,-76.529,179.473,0.000,文献能量启摆,0
5.519,0.681,-10.800,347.410,-6.000,38.001,47.501,179.319,0.000,文献能量启摆,0
5.539,0.703,5.400,347.410,5.400,-19.000,-23.750,179.297,-0.000,文献能量启摆,0
5.559,0.725,0.000,347.454,-4.800,60.000,75.000,179.275,-0.000,文献能量启摆,0
5.579,0.813,6.000,347.629,32.400,-21.112,-26.389,179.187,-0.000,文献能量启摆,0
5.600,1.187,0.000,348.376,0.000,60.000,75.000,178.813,-0.000,文献能量启摆,0
5.620,1.538,72.600,348.728,64.200,-220.000,-220.000,178.462,0.000,文献能量启摆,0
